"utc_date","local_date","exp_id","exp_ver","id","prolific_id","browser","task","task_ver","gorilla_counterbalance","trial_row","rt","response","attempt","accuracy","dishonest","display","counterbalance_order","list","event","condition","event_name","stim","seq_pos","spatial_pos"
"09/02/2021 22:09:58","09/02/2021 17:09:59",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b1",3,"SS5",4,791,1,1,1,0,"motor_trial","SS5",1,1,"pred","grocery store.png","caramelapple.png",1,1
"09/02/2021 22:10:02","09/02/2021 17:10:03",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b1",3,"SS5",6,390,4,1,1,0,"motor_trial","SS5",1,1,"pred","grocery store.png","poutine.png",2,4
"09/02/2021 22:10:06","09/02/2021 17:10:07",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b1",3,"SS5",8,514,3,1,1,0,"motor_trial","SS5",1,1,"pred","grocery store.png","mushrooms.png",3,3
"09/02/2021 22:10:10","09/02/2021 17:10:11",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b1",3,"SS5",10,581,4,1,1,0,"motor_trial","SS5",1,1,"pred","grocery store.png","onion.png",4,4
"09/02/2021 22:10:14","09/02/2021 17:10:15",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b1",3,"SS5",12,558,2,1,1,0,"motor_trial","SS5",1,1,"pred","grocery store.png","broccoli.png",5,2
"09/02/2021 22:10:18","09/02/2021 17:10:19",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b1",3,"SS5",14,745,3,1,1,0,"motor_trial","SS5",1,1,"pred","grocery store.png","basil.png",6,3
"09/02/2021 22:10:26","09/02/2021 17:10:27",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b1",3,"SS5",18,531,1,1,1,0,"motor_trial","SS5",1,2,"pred","grocery store.png","watermelon.png",1,1
"09/02/2021 22:10:30","09/02/2021 17:10:31",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b1",3,"SS5",20,391,4,1,1,0,"motor_trial","SS5",1,2,"pred","grocery store.png","popcornshrimp.png",2,4
"09/02/2021 22:10:33","09/02/2021 17:10:34",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b1",3,"SS5",22,295,3,1,1,0,"motor_trial","SS5",1,2,"pred","grocery store.png","coffee.png",3,3
"09/02/2021 22:10:37","09/02/2021 17:10:38",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b1",3,"SS5",24,549,4,1,1,0,"motor_trial","SS5",1,2,"pred","grocery store.png","cabbage.png",4,4
"09/02/2021 22:10:41","09/02/2021 17:10:42",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b1",3,"SS5",26,668,2,1,1,0,"motor_trial","SS5",1,2,"pred","grocery store.png","guava.png",5,2
"09/02/2021 22:10:45","09/02/2021 17:10:46",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b1",3,"SS5",28,399,3,1,1,0,"motor_trial","SS5",1,2,"pred","grocery store.png","nachos.png",6,3
"09/02/2021 22:10:54","09/02/2021 17:10:54",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b1",3,"SS5",32,1158,4,1,1,0,"motor_trial","SS5",1,3,"rand","pet store.png","pufferfish.png",1,4
"09/02/2021 22:10:57","09/02/2021 17:10:58",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b1",3,"SS5",34,402,3,1,1,0,"motor_trial","SS5",1,3,"rand","pet store.png","dolphin.png",2,3
"09/02/2021 22:11:01","09/02/2021 17:11:02",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b1",3,"SS5",36,623,1,1,1,0,"motor_trial","SS5",1,3,"rand","pet store.png","stingray.png",3,1
"09/02/2021 22:11:05","09/02/2021 17:11:06",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b1",3,"SS5",38,444,2,1,1,0,"motor_trial","SS5",1,3,"rand","pet store.png","crocodile.png",4,2
"09/02/2021 22:11:09","09/02/2021 17:11:10",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b1",3,"SS5",40,554,1,1,1,0,"motor_trial","SS5",1,3,"rand","pet store.png","boar.png",5,1
"09/02/2021 22:11:13","09/02/2021 17:11:14",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b1",3,"SS5",42,498,3,1,1,0,"motor_trial","SS5",1,3,"rand","pet store.png","llama.png",6,3
"09/02/2021 22:11:22","09/02/2021 17:11:23",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b1",3,"SS5",46,1491,3,1,1,0,"motor_trial","SS5",1,4,"rand","pet store.png","parrot.png",1,3
"09/02/2021 22:11:26","09/02/2021 17:11:26",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b1",3,"SS5",48,436,4,1,1,0,"motor_trial","SS5",1,4,"rand","pet store.png","ferret.png",2,4
"09/02/2021 22:11:30","09/02/2021 17:11:30",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b1",3,"SS5",50,576,1,1,1,0,"motor_trial","SS5",1,4,"rand","pet store.png","owl.png",3,1
"09/02/2021 22:11:33","09/02/2021 17:11:34",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b1",3,"SS5",52,581,2,1,1,0,"motor_trial","SS5",1,4,"rand","pet store.png","pig.png",4,2
"09/02/2021 22:11:37","09/02/2021 17:11:38",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b1",3,"SS5",54,649,1,1,1,0,"motor_trial","SS5",1,4,"rand","pet store.png","pug.png",5,1
"09/02/2021 22:11:41","09/02/2021 17:11:42",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b1",3,"SS5",56,589,4,1,1,0,"motor_trial","SS5",1,4,"rand","pet store.png","hippo.png",6,4
"09/02/2021 22:14:05","09/02/2021 17:14:05",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b2",4,"SS5",4,667,1,1,1,0,"motor_trial","SS5",2,1,"pred","grocery store.png","peanutbutter.png",1,1
"09/02/2021 22:14:08","09/02/2021 17:14:09",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b2",4,"SS5",6,328,4,1,1,0,"motor_trial","SS5",2,1,"pred","grocery store.png","acaibowl.png",2,4
"09/02/2021 22:14:12","09/02/2021 17:14:13",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b2",4,"SS5",8,626,3,1,1,0,"motor_trial","SS5",2,1,"pred","grocery store.png","clams.png",3,3
"09/02/2021 22:14:16","09/02/2021 17:14:17",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b2",4,"SS5",10,367,4,1,1,0,"motor_trial","SS5",2,1,"pred","grocery store.png","gummybears.png",4,4
"09/02/2021 22:14:20","09/02/2021 17:14:21",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b2",4,"SS5",12,532,2,1,1,0,"motor_trial","SS5",2,1,"pred","grocery store.png","dragonfruit.png",5,2
"09/02/2021 22:14:24","09/02/2021 17:14:24",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b2",4,"SS5",14,368,3,1,1,0,"motor_trial","SS5",2,1,"pred","grocery store.png","cupnoodle.png",6,3
"09/02/2021 22:14:32","09/02/2021 17:14:33",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b2",4,"SS5",18,771,2,1,1,0,"motor_trial","SS5",2,2,"rand","pet store.png","bettafish.png",1,2
"09/02/2021 22:14:36","09/02/2021 17:14:36",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b2",4,"SS5",20,478,4,1,1,0,"motor_trial","SS5",2,2,"rand","pet store.png","chameleon.png",2,4
"09/02/2021 22:14:39","09/02/2021 17:14:40",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b2",4,"SS5",22,397,3,1,1,0,"motor_trial","SS5",2,2,"rand","pet store.png","octopus.png",3,3
"09/02/2021 22:14:43","09/02/2021 17:14:44",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b2",4,"SS5",24,432,1,1,1,0,"motor_trial","SS5",2,2,"rand","pet store.png","ladybug.png",4,1
"09/02/2021 22:14:47","09/02/2021 17:14:48",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b2",4,"SS5",26,500,3,1,1,0,"motor_trial","SS5",2,2,"rand","pet store.png","gorilla.png",5,3
"09/02/2021 22:14:51","09/02/2021 17:14:51",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b2",4,"SS5",28,390,4,1,1,0,"motor_trial","SS5",2,2,"rand","pet store.png","killerwhale.png",6,4
"09/02/2021 22:14:59","09/02/2021 17:15:00",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b2",4,"SS5",32,748,1,1,1,0,"motor_trial","SS5",2,3,"pred","grocery store.png","mustard.png",1,1
"09/02/2021 22:15:29","09/02/2021 17:15:30",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b2",4,"SS5",34,840,4,1,1,0,"motor_trial","SS5",2,3,"pred","grocery store.png","cookies.png",2,4
"09/02/2021 22:15:33","09/02/2021 17:15:34",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b2",4,"SS5",36,828,3,1,1,0,"motor_trial","SS5",2,3,"pred","grocery store.png","cantaloupe.png",3,3
"09/02/2021 22:15:37","09/02/2021 17:15:38",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b2",4,"SS5",38,406,4,1,1,0,"motor_trial","SS5",2,3,"pred","grocery store.png","lemon.png",4,4
"09/02/2021 22:15:41","09/02/2021 17:15:42",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b2",4,"SS5",40,582,2,1,1,0,"motor_trial","SS5",2,3,"pred","grocery store.png","bellpeppers.png",5,2
"09/02/2021 22:15:45","09/02/2021 17:15:45",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b2",4,"SS5",42,420,3,1,1,0,"motor_trial","SS5",2,3,"pred","grocery store.png","acornsquash.png",6,3
"09/02/2021 22:15:53","09/02/2021 17:15:54",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b2",4,"SS5",46,689,3,1,1,0,"motor_trial","SS5",2,4,"rand","pet store.png","deer.png",1,3
"09/02/2021 22:15:57","09/02/2021 17:15:58",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b2",4,"SS5",48,631,1,1,1,0,"motor_trial","SS5",2,4,"rand","pet store.png","donkey.png",2,1
"09/02/2021 22:16:01","09/02/2021 17:16:01",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b2",4,"SS5",50,438,2,1,1,0,"motor_trial","SS5",2,4,"rand","pet store.png","eagle.png",3,2
"09/02/2021 22:16:04","09/02/2021 17:16:05",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b2",4,"SS5",52,594,1,1,1,0,"motor_trial","SS5",2,4,"rand","pet store.png","panther.png",4,1
"09/02/2021 22:16:08","09/02/2021 17:16:09",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b2",4,"SS5",54,420,4,1,1,0,"motor_trial","SS5",2,4,"rand","pet store.png","turkey.png",5,4
"09/02/2021 22:16:12","09/02/2021 17:16:13",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b2",4,"SS5",56,584,2,1,1,0,"motor_trial","SS5",2,4,"rand","pet store.png","rat.png",6,2
"09/02/2021 22:18:24","09/02/2021 17:18:24",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b3",2,"SS5",4,605,2,1,1,0,"motor_trial","SS5",3,1,"rand","pet store.png","zebra.png",1,2
"09/02/2021 22:18:28","09/02/2021 17:18:28",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b3",2,"SS5",6,578,4,1,1,0,"motor_trial","SS5",3,1,"rand","pet store.png","turtle.png",2,4
"09/02/2021 22:18:31","09/02/2021 17:18:32",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b3",2,"SS5",8,530,3,1,1,0,"motor_trial","SS5",3,1,"rand","pet store.png","chicken.png",3,3
"09/02/2021 22:18:35","09/02/2021 17:18:36",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","encoding_b3",2,"SS5",10,499,1,1,1,0,"motor_trial","SS5",3,1,"rand","pet store.png","lemur.png",4,1
