"utc_date","local_date","exp_id","exp_ver","id","prolific_id","browser","task","task_ver","gorilla_counterbalance","trial_row","rt","response","attempt","accuracy","dishonest","display","counterbalance_order","list","event","condition","event_name","stim","seq_pos","spatial_pos"
"13/04/2021 15:05:37","13/04/2021 11:05:40",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b2",3,"SS5",50,943.615000003774,2,1,1,0,"motor_trial_cue","SS5",2,4,"rand","pet store.png","eagle.png",3,2
"13/04/2021 15:05:41","13/04/2021 11:05:44",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b2",3,"SS5",52,474.894999999378,1,1,1,0,"motor_trial_cue","SS5",2,4,"rand","pet store.png","panther.png",4,1
"13/04/2021 15:05:45","13/04/2021 11:05:48",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b2",3,"SS5",54,492.664999997942,4,1,1,0,"motor_trial_cue","SS5",2,4,"rand","pet store.png","turkey.png",5,4
"13/04/2021 15:05:49","13/04/2021 11:05:52",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b2",3,"SS5",56,475.955000001704,2,1,1,0,"motor_trial_cue","SS5",2,4,"rand","pet store.png","rat.png",6,2
"13/04/2021 15:07:49","13/04/2021 11:07:52",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b3",2,"SS5",4,817.504999999073,2,1,1,0,"motor_trial_cue","SS5",3,1,"rand","pet store.png","zebra.png",1,2
"13/04/2021 15:07:54","13/04/2021 11:07:56",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b3",2,"SS5",6,553.765000004205,4,1,1,0,"motor_trial_cue","SS5",3,1,"rand","pet store.png","turtle.png",2,4
"13/04/2021 15:07:58","13/04/2021 11:08:00",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b3",2,"SS5",8,625.379999997676,3,1,1,0,"motor_trial_cue","SS5",3,1,"rand","pet store.png","chicken.png",3,3
"13/04/2021 15:08:02","13/04/2021 11:08:04",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b3",2,"SS5",10,530.139999995299,1,1,1,0,"motor_trial_cue","SS5",3,1,"rand","pet store.png","lemur.png",4,1
"13/04/2021 15:08:06","13/04/2021 11:08:08",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b3",2,"SS5",12,460.599999998522,4,1,1,0,"motor_trial_cue","SS5",3,1,"rand","pet store.png","sheep.png",5,4
"13/04/2021 15:08:10","13/04/2021 11:08:12",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b3",2,"SS5",14,501.085000003513,1,1,1,0,"motor_trial_cue","SS5",3,1,"rand","pet store.png","redpanda.png",6,1
"13/04/2021 15:08:18","13/04/2021 11:08:20",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b3",2,"SS5",18,524.689999998373,1,1,1,0,"motor_trial_mem","SS5",3,2,"pred","grocery store.png","orange.png",1,1
"13/04/2021 15:08:21","13/04/2021 11:08:24",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b3",2,"SS5",20,2.88999999611406,4,1,1,0,"motor_trial_mem","SS5",3,2,"pred","grocery store.png","lychee.png",2,4
"13/04/2021 15:08:25","13/04/2021 11:08:28",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b3",2,"SS5",22,219.08500000427,3,1,1,0,"motor_trial_mem","SS5",3,2,"pred","grocery store.png","popcorn.png",3,3
"13/04/2021 15:08:29","13/04/2021 11:08:31",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b3",2,"SS5",24,142.079999997804,4,1,1,0,"motor_trial_mem","SS5",3,2,"pred","grocery store.png","cookedchicken.png",4,4
"13/04/2021 15:08:33","13/04/2021 11:08:36",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b3",2,"SS5",26,829.685000004247,2,1,1,0,"motor_trial_mem","SS5",3,2,"pred","grocery store.png","strawberries.png",5,2
"13/04/2021 15:08:38","13/04/2021 11:08:41",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b3",2,"SS5",28,1427.30500000471,3,1,1,0,"motor_trial_mem","SS5",3,2,"pred","grocery store.png","kiwi.png",6,3
"13/04/2021 15:08:46","13/04/2021 11:08:49",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b3",2,"SS5",32,800.860000003013,2,1,1,0,"motor_trial_cue","SS5",3,3,"rand","pet store.png","vulture.png",1,2
"13/04/2021 15:08:52","13/04/2021 11:08:54",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b3",2,"SS5",34,2019.00500000193,3,1,1,0,"motor_trial_cue","SS5",3,3,"rand","pet store.png","cardinal.png",2,3
"13/04/2021 15:08:56","13/04/2021 11:08:59",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b3",2,"SS5",36,773.175000002084,1,1,1,0,"motor_trial_cue","SS5",3,3,"rand","pet store.png","giraffe.png",3,1
"13/04/2021 15:09:00","13/04/2021 11:09:03",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b3",2,"SS5",38,739.704999999958,4,1,0,0,"motor_trial_cue","SS5",3,3,"rand","pet store.png","badger.png",4,3
"13/04/2021 15:09:04","13/04/2021 11:09:07",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b3",2,"SS5",40,540.374999996857,4,1,1,0,"motor_trial_cue","SS5",3,3,"rand","pet store.png","wolf.png",5,4
"13/04/2021 15:09:09","13/04/2021 11:09:11",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b3",2,"SS5",42,644.580000000133,1,1,1,0,"motor_trial_cue","SS5",3,3,"rand","pet store.png","polarbear.png",6,1
"13/04/2021 15:09:17","13/04/2021 11:09:19",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b3",2,"SS5",46,558.430000004591,1,1,1,0,"motor_trial_mem","SS5",3,4,"pred","grocery store.png","tomato.png",1,1
