"utc_date","local_date","exp_id","exp_ver","id","prolific_id","browser","task","task_ver","gorilla_counterbalance","trial_row","rt","response","attempt","accuracy","dishonest","display","counterbalance_order","list","event","condition","event_name","seq_pos","spatial_pos","recon_correct","temp_stim1","temp_stim2","temp_cond","temp_correct","spatial_stim","spatial_correct","temp_conf"
"09/02/2021 22:17:15","09/02/2021 17:17:16",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b2",3,"SS5",5,1557,"acaibowl.png",1,1,0,"recon_trial","SS5",2,1,"pred","grocery store.png",2,4,"acaibowl.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:17:17","09/02/2021 17:17:18",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b2",3,"SS5",6,2136,"clams.png",1,1,0,"recon_trial","SS5",2,1,"pred","grocery store.png",3,3,"clams.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:17:19","09/02/2021 17:17:19",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b2",3,"SS5",7,1279,"gummybears.png",1,1,0,"recon_trial","SS5",2,1,"pred","grocery store.png",4,4,"gummybears.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:17:20","09/02/2021 17:17:21",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b2",3,"SS5",8,1556,"dragonfruit.png",1,1,0,"recon_trial","SS5",2,1,"pred","grocery store.png",5,2,"dragonfruit.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:17:21","09/02/2021 17:17:22",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b2",3,"SS5",9,1313,"cupnoodle.png",1,1,0,"recon_trial","SS5",2,1,"pred","grocery store.png",6,3,"cupnoodle.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:21:17","09/02/2021 17:21:17",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b3",3,"SS5",4,2212,"orange.png",1,1,0,"recon_trial","SS5",3,2,"pred","grocery store.png",1,1,"orange.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:21:19","09/02/2021 17:21:19",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b3",3,"SS5",5,1931,"lychee.png",1,1,0,"recon_trial","SS5",3,2,"pred","grocery store.png",2,4,"lychee.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:21:22","09/02/2021 17:21:22",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b3",3,"SS5",6,3021,"popcorn.png",1,1,0,"recon_trial","SS5",3,2,"pred","grocery store.png",3,3,"popcorn.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:21:24","09/02/2021 17:21:25",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b3",3,"SS5",7,2744,"cookedchicken.png",1,1,0,"recon_trial","SS5",3,2,"pred","grocery store.png",4,4,"cookedchicken.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:21:27","09/02/2021 17:21:28",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b3",3,"SS5",8,2977,"strawberries.png",1,1,0,"recon_trial","SS5",3,2,"pred","grocery store.png",5,2,"strawberries.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:21:28","09/02/2021 17:21:29",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b3",3,"SS5",9,831,"kiwi.png",1,1,0,"recon_trial","SS5",3,2,"pred","grocery store.png",6,3,"kiwi.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:21:31","09/02/2021 17:21:32",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b3",3,"SS5",11,2224,"zebra.png",1,1,0,"recon_trial","SS5",3,1,"rand","pet store.png",1,2,"zebra.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:21:34","09/02/2021 17:21:35",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b3",3,"SS5",12,2647,"chicken.png",1,0,0,"recon_trial","SS5",3,1,"rand","pet store.png",2,4,"turtle.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:21:36","09/02/2021 17:21:37",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b3",3,"SS5",13,1560,"lemur.png",1,0,0,"recon_trial","SS5",3,1,"rand","pet store.png",3,3,"chicken.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:21:37","09/02/2021 17:21:38",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b3",3,"SS5",14,1536,"sheep.png",1,0,0,"recon_trial","SS5",3,1,"rand","pet store.png",4,1,"lemur.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:21:39","09/02/2021 17:21:40",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b3",3,"SS5",15,1477,"turtle.png",1,0,0,"recon_trial","SS5",3,1,"rand","pet store.png",5,4,"sheep.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:21:40","09/02/2021 17:21:41",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b3",3,"SS5",16,1435,"redpanda.png",1,1,0,"recon_trial","SS5",3,1,"rand","pet store.png",6,1,"redpanda.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:25:21","09/02/2021 17:25:22",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b4",3,"SS5",11,2233,"bear.png",1,1,0,"recon_trial","SS5",4,1,"rand","pet store.png",1,4,"bear.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:25:23","09/02/2021 17:25:24",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b4",3,"SS5",12,1308,"hedgehog.png",1,1,0,"recon_trial","SS5",4,1,"rand","pet store.png",2,2,"hedgehog.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:25:24","09/02/2021 17:25:25",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b4",3,"SS5",13,1475,"cat.png",1,1,0,"recon_trial","SS5",4,1,"rand","pet store.png",3,3,"cat.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:25:26","09/02/2021 17:25:27",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b4",3,"SS5",14,1510,"armadillo.png",1,1,0,"recon_trial","SS5",4,1,"rand","pet store.png",4,1,"armadillo.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:25:27","09/02/2021 17:25:28",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b4",3,"SS5",15,1548,"snake.png",1,0,0,"recon_trial","SS5",4,1,"rand","pet store.png",5,2,"moose.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:25:29","09/02/2021 17:25:30",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b4",3,"SS5",16,1528,"moose.png",1,0,0,"recon_trial","SS5",4,1,"rand","pet store.png",6,1,"snake.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:25:32","09/02/2021 17:25:33",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b4",3,"SS5",4,1989,"cheese.png",1,1,0,"recon_trial","SS5",4,3,"pred","grocery store.png",1,1,"cheese.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:25:34","09/02/2021 17:25:35",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b4",3,"SS5",5,1438,"taco.png",1,1,0,"recon_trial","SS5",4,3,"pred","grocery store.png",2,4,"taco.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:25:35","09/02/2021 17:25:36",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b4",3,"SS5",6,1743,"walnuts.png",1,1,0,"recon_trial","SS5",4,3,"pred","grocery store.png",3,3,"walnuts.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:25:37","09/02/2021 17:25:38",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b4",3,"SS5",7,1381,"burrito.png",1,1,0,"recon_trial","SS5",4,3,"pred","grocery store.png",4,4,"burrito.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:25:38","09/02/2021 17:25:39",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b4",3,"SS5",8,1429,"cereal.png",1,1,0,"recon_trial","SS5",4,3,"pred","grocery store.png",5,2,"cereal.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:25:40","09/02/2021 17:25:41",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b4",3,"SS5",9,1401,"pizza.png",1,1,0,"recon_trial","SS5",4,3,"pred","grocery store.png",6,3,"pizza.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:29:33","09/02/2021 17:29:34",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b5",3,"SS5",11,6158,"hermitcrab.png",1,1,0,"recon_trial","SS5",5,4,"rand","pet store.png",1,3,"hermitcrab.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:29:36","09/02/2021 17:29:37",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b5",3,"SS5",12,3106,"cow.png",1,0,0,"recon_trial","SS5",5,4,"rand","pet store.png",2,4,"bloodhound.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:29:37","09/02/2021 17:29:38",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b5",3,"SS5",13,963,"bloodhound.png",1,0,0,"recon_trial","SS5",5,4,"rand","pet store.png",3,2,"cuttlefish.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:29:38","09/02/2021 17:29:39",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b5",3,"SS5",14,661,"cuttlefish.png",1,0,0,"recon_trial","SS5",5,4,"rand","pet store.png",4,1,"cow.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:29:39","09/02/2021 17:29:40",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b5",3,"SS5",15,754,"crow.png",1,1,0,"recon_trial","SS5",5,4,"rand","pet store.png",5,4,"crow.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:29:39","09/02/2021 17:29:40",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b5",3,"SS5",16,592,"rhino.png",1,1,0,"recon_trial","SS5",5,4,"rand","pet store.png",6,1,"rhino.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:29:43","09/02/2021 17:29:44",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b5",3,"SS5",4,2317,"dumplings.png",1,1,0,"recon_trial","SS5",5,2,"pred","grocery store.png",1,1,"dumplings.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:29:45","09/02/2021 17:29:45",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b5",3,"SS5",5,1583,"coconut.png",1,1,0,"recon_trial","SS5",5,2,"pred","grocery store.png",2,4,"coconut.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:29:48","09/02/2021 17:29:49",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b5",3,"SS5",6,3943,"apple.png",1,1,0,"recon_trial","SS5",5,2,"pred","grocery store.png",3,3,"apple.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:29:49","09/02/2021 17:29:50",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b5",3,"SS5",7,1079,"rice.png",1,1,0,"recon_trial","SS5",5,2,"pred","grocery store.png",4,4,"rice.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:29:50","09/02/2021 17:29:51",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b5",3,"SS5",8,808,"chocolatemilk.png",1,1,0,"recon_trial","SS5",5,2,"pred","grocery store.png",5,2,"chocolatemilk.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:29:51","09/02/2021 17:29:52",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b5",3,"SS5",9,874,"pancakes.png",1,1,0,"recon_trial","SS5",5,2,"pred","grocery store.png",6,3,"pancakes.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:33:52","09/02/2021 17:33:53",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b6",3,"SS5",11,2308,"ostrich.png",1,1,0,"recon_trial","SS5",6,3,"rand","pet store.png",1,4,"ostrich.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:33:54","09/02/2021 17:33:54",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b6",3,"SS5",12,1912,"goose.png",1,1,0,"recon_trial","SS5",6,3,"rand","pet store.png",2,2,"goose.png",NA,NA,NA,NA,NA,NA,NA
"09/02/2021 22:33:55","09/02/2021 17:33:56",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b6",3,"SS5",13,1334,"emu.png",1,1,0,"recon_trial","SS5",6,3,"rand","pet store.png",3,3,"emu.png",NA,NA,NA,NA,NA,NA,NA
