"utc_date","local_date","exp_id","exp_ver","id","prolific_id","browser","task","task_ver","gorilla_counterbalance","trial_row","rt","response","attempt","accuracy","dishonest","display","counterbalance_order","list","event","condition","event_name","seq_pos","spatial_pos","recon_correct","temp_stim1","temp_stim2","temp_cond","temp_correct","spatial_stim","spatial_correct","temp_conf"
"09/02/2021 22:13:12","09/02/2021 17:13:13",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b1",4,"SS5",25,1812,3,1,1,0,"spatial_trial","SS5",1,4,"rand","pet store.png",1,3,NA,NA,NA,NA,NA,"parrot.png",3,NA
"09/02/2021 22:13:14","09/02/2021 17:13:15",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b1",4,"SS5",29,1219,1,1,1,0,"spatial_trial","SS5",1,4,"rand","pet store.png",5,1,NA,NA,NA,NA,NA,"pug.png",1,NA
"09/02/2021 22:13:17","09/02/2021 17:13:18",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b1",4,"SS5",28,1515,2,1,1,0,"spatial_trial","SS5",1,4,"rand","pet store.png",4,2,NA,NA,NA,NA,NA,"pig.png",2,NA
"09/02/2021 22:13:20","09/02/2021 17:13:20",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b1",4,"SS5",23,1664,2,1,1,0,"spatial_trial","SS5",1,2,"pred","grocery store.png",5,2,NA,NA,NA,NA,NA,"guava.png",2,NA
"09/02/2021 22:13:22","09/02/2021 17:13:23",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b1",4,"SS5",22,1132,4,1,1,0,"spatial_trial","SS5",1,2,"pred","grocery store.png",4,4,NA,NA,NA,NA,NA,"cabbage.png",4,NA
"09/02/2021 22:13:24","09/02/2021 17:13:25",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b1",4,"SS5",24,1176,3,1,1,0,"spatial_trial","SS5",1,2,"pred","grocery store.png",6,3,NA,NA,NA,NA,NA,"nachos.png",3,NA
"09/02/2021 22:13:26","09/02/2021 17:13:27",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b1",4,"SS5",19,1184,1,1,1,0,"spatial_trial","SS5",1,2,"pred","grocery store.png",1,1,NA,NA,NA,NA,NA,"watermelon.png",1,NA
"09/02/2021 22:13:28","09/02/2021 17:13:29",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b1",4,"SS5",20,1100,4,1,1,0,"spatial_trial","SS5",1,2,"pred","grocery store.png",2,4,NA,NA,NA,NA,NA,"popcornshrimp.png",4,NA
"09/02/2021 22:13:31","09/02/2021 17:13:31",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b1",4,"SS5",30,1090,4,1,1,0,"spatial_trial","SS5",1,4,"rand","pet store.png",6,4,NA,NA,NA,NA,NA,"hippo.png",4,NA
"09/02/2021 22:13:33","09/02/2021 17:13:34",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b1",4,"SS5",21,1140,3,1,1,0,"spatial_trial","SS5",1,2,"pred","grocery store.png",3,3,NA,NA,NA,NA,NA,"coffee.png",3,NA
"09/02/2021 22:13:35","09/02/2021 17:13:36",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b1",4,"SS5",27,976,1,1,1,0,"spatial_trial","SS5",1,4,"rand","pet store.png",3,1,NA,NA,NA,NA,NA,"owl.png",1,NA
"09/02/2021 22:13:37","09/02/2021 17:13:37",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b1",4,"SS5",26,852,4,1,1,0,"spatial_trial","SS5",1,4,"rand","pet store.png",2,4,NA,NA,NA,NA,NA,"ferret.png",4,NA
"09/02/2021 22:17:33","09/02/2021 17:17:34",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b2",3,"SS5",25,1571,3,1,1,0,"spatial_trial","SS5",2,4,"rand","pet store.png",1,3,NA,NA,NA,NA,NA,"deer.png",3,NA
"09/02/2021 22:17:35","09/02/2021 17:17:36",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b2",3,"SS5",21,1268,3,1,1,0,"spatial_trial","SS5",2,3,"pred","grocery store.png",3,3,NA,NA,NA,NA,NA,"cantaloupe.png",3,NA
"09/02/2021 22:17:38","09/02/2021 17:17:39",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b2",3,"SS5",23,1300,2,1,1,0,"spatial_trial","SS5",2,3,"pred","grocery store.png",5,2,NA,NA,NA,NA,NA,"bellpeppers.png",2,NA
"09/02/2021 22:17:41","09/02/2021 17:17:42",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b2",3,"SS5",20,2066,1,1,0,0,"spatial_trial","SS5",2,3,"pred","grocery store.png",2,4,NA,NA,NA,NA,NA,"cookies.png",4,NA
"09/02/2021 22:17:43","09/02/2021 17:17:44",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b2",3,"SS5",29,1471,4,1,1,0,"spatial_trial","SS5",2,4,"rand","pet store.png",5,4,NA,NA,NA,NA,NA,"turkey.png",4,NA
"09/02/2021 22:17:47","09/02/2021 17:17:47",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b2",3,"SS5",30,2175,3,1,0,0,"spatial_trial","SS5",2,4,"rand","pet store.png",6,2,NA,NA,NA,NA,NA,"rat.png",2,NA
"09/02/2021 22:17:49","09/02/2021 17:17:50",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b2",3,"SS5",26,1001,1,1,1,0,"spatial_trial","SS5",2,4,"rand","pet store.png",2,1,NA,NA,NA,NA,NA,"donkey.png",1,NA
"09/02/2021 22:17:51","09/02/2021 17:17:52",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b2",3,"SS5",28,995,1,1,1,0,"spatial_trial","SS5",2,4,"rand","pet store.png",4,1,NA,NA,NA,NA,NA,"panther.png",1,NA
"09/02/2021 22:17:53","09/02/2021 17:17:54",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b2",3,"SS5",22,1136,3,1,0,0,"spatial_trial","SS5",2,3,"pred","grocery store.png",4,4,NA,NA,NA,NA,NA,"lemon.png",4,NA
"09/02/2021 22:17:56","09/02/2021 17:17:57",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b2",3,"SS5",19,1841,3,1,0,0,"spatial_trial","SS5",2,3,"pred","grocery store.png",1,1,NA,NA,NA,NA,NA,"mustard.png",1,NA
"09/02/2021 22:17:59","09/02/2021 17:18:00",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b2",3,"SS5",24,1863,3,1,1,0,"spatial_trial","SS5",2,3,"pred","grocery store.png",6,3,NA,NA,NA,NA,NA,"acornsquash.png",3,NA
"09/02/2021 22:18:02","09/02/2021 17:18:03",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b2",3,"SS5",27,2317,2,1,1,0,"spatial_trial","SS5",2,4,"rand","pet store.png",3,2,NA,NA,NA,NA,NA,"eagle.png",2,NA
"09/02/2021 22:21:47","09/02/2021 17:21:48",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b3",3,"SS5",26,1036,3,1,1,0,"spatial_trial","SS5",3,3,"rand","pet store.png",2,3,NA,NA,NA,NA,NA,"cardinal.png",3,NA
"09/02/2021 22:21:49","09/02/2021 17:21:50",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b3",3,"SS5",20,851,4,1,1,0,"spatial_trial","SS5",3,4,"pred","grocery store.png",2,4,NA,NA,NA,NA,NA,"seaweed.png",4,NA
"09/02/2021 22:21:51","09/02/2021 17:21:52",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b3",3,"SS5",23,868,2,1,1,0,"spatial_trial","SS5",3,4,"pred","grocery store.png",5,2,NA,NA,NA,NA,NA,"burger.png",2,NA
"09/02/2021 22:21:53","09/02/2021 17:21:54",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b3",3,"SS5",30,805,1,1,1,0,"spatial_trial","SS5",3,3,"rand","pet store.png",6,1,NA,NA,NA,NA,NA,"polarbear.png",1,NA
"09/02/2021 22:21:55","09/02/2021 17:21:55",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b3",3,"SS5",29,816,4,1,1,0,"spatial_trial","SS5",3,3,"rand","pet store.png",5,4,NA,NA,NA,NA,NA,"wolf.png",4,NA
"09/02/2021 22:21:57","09/02/2021 17:21:57",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b3",3,"SS5",19,872,1,1,1,0,"spatial_trial","SS5",3,4,"pred","grocery store.png",1,1,NA,NA,NA,NA,NA,"tomato.png",1,NA
"09/02/2021 22:21:59","09/02/2021 17:21:59",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b3",3,"SS5",27,1044,1,1,1,0,"spatial_trial","SS5",3,3,"rand","pet store.png",3,1,NA,NA,NA,NA,NA,"giraffe.png",1,NA
"09/02/2021 22:22:01","09/02/2021 17:22:02",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b3",3,"SS5",28,1053,4,1,0,0,"spatial_trial","SS5",3,3,"rand","pet store.png",4,3,NA,NA,NA,NA,NA,"badger.png",3,NA
"09/02/2021 22:22:03","09/02/2021 17:22:03",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b3",3,"SS5",21,902,3,1,1,0,"spatial_trial","SS5",3,4,"pred","grocery store.png",3,3,NA,NA,NA,NA,NA,"blackpepper.png",3,NA
"09/02/2021 22:22:05","09/02/2021 17:22:06",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b3",3,"SS5",22,1075,4,1,1,0,"spatial_trial","SS5",3,4,"pred","grocery store.png",4,4,NA,NA,NA,NA,NA,"corn.png",4,NA
"09/02/2021 22:22:07","09/02/2021 17:22:08",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b3",3,"SS5",24,940,2,1,0,0,"spatial_trial","SS5",3,4,"pred","grocery store.png",6,3,NA,NA,NA,NA,NA,"sandwich.png",3,NA
"09/02/2021 22:22:10","09/02/2021 17:22:11",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b3",3,"SS5",25,2220,2,1,1,0,"spatial_trial","SS5",3,3,"rand","pet store.png",1,2,NA,NA,NA,NA,NA,"vulture.png",2,NA
"09/02/2021 22:25:47","09/02/2021 17:25:48",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b4",3,"SS5",26,1018,1,1,1,0,"spatial_trial","SS5",4,2,"rand","pet store.png",2,1,NA,NA,NA,NA,NA,"rabbit.png",1,NA
"09/02/2021 22:25:49","09/02/2021 17:25:50",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b4",3,"SS5",27,798,3,1,1,0,"spatial_trial","SS5",4,2,"rand","pet store.png",3,3,NA,NA,NA,NA,NA,"bat.png",3,NA
"09/02/2021 22:25:51","09/02/2021 17:25:52",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b4",3,"SS5",22,783,4,1,1,0,"spatial_trial","SS5",4,4,"pred","grocery store.png",4,4,NA,NA,NA,NA,NA,"peaches.png",4,NA
"09/02/2021 22:25:53","09/02/2021 17:25:53",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b4",3,"SS5",19,850,1,1,1,0,"spatial_trial","SS5",4,4,"pred","grocery store.png",1,1,NA,NA,NA,NA,NA,"ravioli.png",1,NA
"09/02/2021 22:25:55","09/02/2021 17:25:55",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b4",3,"SS5",30,848,1,1,1,0,"spatial_trial","SS5",4,2,"rand","pet store.png",6,1,NA,NA,NA,NA,NA,"frog.png",1,NA
"09/02/2021 22:25:57","09/02/2021 17:25:57",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b4",3,"SS5",24,1085,3,1,1,0,"spatial_trial","SS5",4,4,"pred","grocery store.png",6,3,NA,NA,NA,NA,NA,"ramen.png",3,NA
"09/02/2021 22:26:00","09/02/2021 17:26:01",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","retrieval_b4",3,"SS5",29,2236,2,1,0,0,"spatial_trial","SS5",4,2,"rand","pet store.png",5,3,NA,NA,NA,NA,NA,"fox.png",3,NA
