"utc_date","local_date","exp_id","exp_ver","id","prolific_id","browser","task","task_ver","gorilla_counterbalance","trial_row","rt","response","attempt","accuracy","dishonest","display","counterbalance_order","list","event","condition","event_name","stim","seq_pos","spatial_pos"
"14/07/2021 19:57:02","14/07/2021 12:56:55",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","encoding_b1",3,"SS6",4,1145.09999999404,3,1,1,0,"motor_trial_cue","SS6",1,1,"rand","grocery store.png","sandwichB.png",1,3
"14/07/2021 19:57:07","14/07/2021 12:56:59",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","encoding_b1",3,"SS6",6,1045.59999999404,2,1,1,0,"motor_trial_cue","SS6",1,1,"rand","grocery store.png","riceB.png",2,2
"14/07/2021 19:57:11","14/07/2021 12:57:04",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","encoding_b1",3,"SS6",8,901.600000008941,4,1,1,0,"motor_trial_cue","SS6",1,1,"rand","grocery store.png","pretzelB.png",3,4
"14/07/2021 19:57:16","14/07/2021 12:57:09",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","encoding_b1",3,"SS6",10,1377.79999999702,1,1,1,0,"motor_trial_cue","SS6",1,1,"rand","grocery store.png","caramelappleB.png",4,1
"14/07/2021 19:57:21","14/07/2021 12:57:13",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","encoding_b1",3,"SS6",12,950,4,1,1,0,"motor_trial_cue","SS6",1,1,"rand","grocery store.png","cinnamonB.png",5,4
"14/07/2021 19:57:25","14/07/2021 12:57:18",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","encoding_b1",3,"SS6",14,824.600000008941,2,1,1,0,"motor_trial_cue","SS6",1,1,"rand","grocery store.png","beetB.png",6,2
"14/07/2021 19:57:37","14/07/2021 12:57:29",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","encoding_b1",3,"SS6",18,4014,1,1,1,0,"motor_trial_mem","SS6",1,2,"pred","pet store.png","chimpB.png",1,1
"14/07/2021 19:57:41","14/07/2021 12:57:33",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","encoding_b1",3,"SS6",20,532.399999991059,4,1,1,0,"motor_trial_mem","SS6",1,2,"pred","pet store.png","seahorseB.png",2,4
"14/07/2021 19:57:45","14/07/2021 12:57:37",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","encoding_b1",3,"SS6",22,780.5,3,1,1,0,"motor_trial_mem","SS6",1,2,"pred","pet store.png","crocodileB.png",3,3
"14/07/2021 19:57:49","14/07/2021 12:57:42",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","encoding_b1",3,"SS6",24,947.79999999702,4,1,1,0,"motor_trial_mem","SS6",1,2,"pred","pet store.png","tigerB.png",4,4
