"utc_date","local_date","exp_id","exp_ver","id","prolific_id","browser","task","task_ver","gorilla_counterbalance","trial_row","rt","response","attempt","accuracy","dishonest","display","correct","event_name","counterbalance_order","block","phase","condition","seq_pos","test_rep","learn_rep","pred_learn_rep"
"13/04/2021 14:51:07","13/04/2021 10:51:10",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","pretraining",2,"SS5",5,698.034999993979,1,1,1,0,"seq_trial",1,"grocery store.png","SS5",1,"chunked","pred",1,NA,1,1
"13/04/2021 14:51:08","13/04/2021 10:51:11",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","pretraining",2,"SS5",6,589.364999999816,4,1,1,0,"seq_trial",4,"grocery store.png","SS5",1,"chunked","pred",2,NA,1,1
"13/04/2021 14:51:09","13/04/2021 10:51:12",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","pretraining",2,"SS5",7,637.929999997141,3,1,1,0,"seq_trial",3,"grocery store.png","SS5",1,"chunked","pred",3,NA,1,1
"13/04/2021 14:51:10","13/04/2021 10:51:13",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","pretraining",2,"SS5",8,499.275000001944,4,1,1,0,"seq_trial",4,"grocery store.png","SS5",1,"chunked","pred",4,NA,1,1
"13/04/2021 14:51:11","13/04/2021 10:51:14",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","pretraining",2,"SS5",9,498.589999995602,2,1,1,0,"seq_trial",2,"grocery store.png","SS5",1,"chunked","pred",5,NA,1,1
"13/04/2021 14:51:12","13/04/2021 10:51:15",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","pretraining",2,"SS5",10,459.125000001222,3,1,1,0,"seq_trial",3,"grocery store.png","SS5",1,"chunked","pred",6,NA,1,1
"13/04/2021 14:51:18","13/04/2021 10:51:20",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","pretraining",2,"SS5",13,525.584999995772,1,1,1,0,"seq_trial",1,"grocery store.png","SS5",1,"chunked","pred",1,NA,2,2
"13/04/2021 14:51:19","13/04/2021 10:51:21",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","pretraining",2,"SS5",14,392.825000002631,4,1,1,0,"seq_trial",4,"grocery store.png","SS5",1,"chunked","pred",2,NA,2,2
"13/04/2021 14:51:19","13/04/2021 10:51:22",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","pretraining",2,"SS5",15,347.340000000258,3,1,1,0,"seq_trial",3,"grocery store.png","SS5",1,"chunked","pred",3,NA,2,2
"13/04/2021 14:51:20","13/04/2021 10:51:23",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","pretraining",2,"SS5",16,447.075000003679,4,1,1,0,"seq_trial",4,"grocery store.png","SS5",1,"chunked","pred",4,NA,2,2
"13/04/2021 14:51:21","13/04/2021 10:51:24",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","pretraining",2,"SS5",17,388.025000000198,2,1,1,0,"seq_trial",2,"grocery store.png","SS5",1,"chunked","pred",5,NA,2,2
"13/04/2021 14:51:22","13/04/2021 10:51:25",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","pretraining",2,"SS5",18,364.465000006021,3,1,1,0,"seq_trial",3,"grocery store.png","SS5",1,"chunked","pred",6,NA,2,2
"13/04/2021 14:51:27","13/04/2021 10:51:30",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","pretraining",2,"SS5",21,495.245000005525,1,1,1,0,"seq_trial",1,"grocery store.png","SS5",1,"chunked","pred",1,NA,3,3
"13/04/2021 14:51:28","13/04/2021 10:51:31",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","pretraining",2,"SS5",22,269.860000000335,4,1,1,0,"seq_trial",4,"grocery store.png","SS5",1,"chunked","pred",2,NA,3,3
"13/04/2021 14:51:29","13/04/2021 10:51:32",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","pretraining",2,"SS5",23,264.074999999139,3,1,1,0,"seq_trial",3,"grocery store.png","SS5",1,"chunked","pred",3,NA,3,3
