"utc_date","local_date","exp_id","exp_ver","id","prolific_id","browser","task","task_ver","gorilla_counterbalance","trial_row","screen_name","zone_type","rt","response","attempt","accuracy","dishonest","display","counterbalance_order","condition","event_name","seq_pos","correct","test_rep"
"13/04/2021 00:31:06","12/04/2021 19:31:06",48742,5,3590485,"5d6f332829c25100188a4a27","Chrome 89.0.4389.114","reminder",5,"SS4",20,"Screen 1","response_keyboard",648.940000000948,3,1,1,0,"test_trial","SS4","pred","pet store.png",1,3,1
"13/04/2021 00:31:08","12/04/2021 19:31:09",48742,5,3590485,"5d6f332829c25100188a4a27","Chrome 89.0.4389.114","reminder",5,"SS4",21,"Screen 1","response_keyboard",1854.80000000098,2,1,1,0,"test_trial","SS4","pred","pet store.png",2,2,1
"13/04/2021 00:31:10","12/04/2021 19:31:10",48742,5,3590485,"5d6f332829c25100188a4a27","Chrome 89.0.4389.114","reminder",5,"SS4",22,"Screen 1","response_keyboard",994.999999998981,4,1,1,0,"test_trial","SS4","pred","pet store.png",3,4,1
"13/04/2021 00:31:11","12/04/2021 19:31:12",48742,5,3590485,"5d6f332829c25100188a4a27","Chrome 89.0.4389.114","reminder",5,"SS4",23,"Screen 1","response_keyboard",849.104999999327,2,1,1,0,"test_trial","SS4","pred","pet store.png",4,2,1
"13/04/2021 00:31:13","12/04/2021 19:31:14",48742,5,3590485,"5d6f332829c25100188a4a27","Chrome 89.0.4389.114","reminder",5,"SS4",24,"Screen 1","response_keyboard",1378.76499999948,1,1,1,0,"test_trial","SS4","pred","pet store.png",5,1,1
"13/04/2021 00:31:14","12/04/2021 19:31:15",48742,5,3590485,"5d6f332829c25100188a4a27","Chrome 89.0.4389.114","reminder",5,"SS4",25,"Screen 1","response_keyboard",624.100000000908,4,1,1,0,"test_trial","SS4","pred","pet store.png",6,4,1
"13/04/2021 00:31:20","12/04/2021 19:31:20",48742,5,3590485,"5d6f332829c25100188a4a27","Chrome 89.0.4389.114","reminder",5,"SS4",28,"Screen 1","response_keyboard",883.934999999838,3,1,1,0,"test_trial","SS4","pred","pet store.png",1,3,2
"13/04/2021 00:31:21","12/04/2021 19:31:21",48742,5,3590485,"5d6f332829c25100188a4a27","Chrome 89.0.4389.114","reminder",5,"SS4",29,"Screen 1","response_keyboard",319.949999999153,2,1,1,0,"test_trial","SS4","pred","pet store.png",2,2,2
"13/04/2021 00:31:22","12/04/2021 19:31:22",48742,5,3590485,"5d6f332829c25100188a4a27","Chrome 89.0.4389.114","reminder",5,"SS4",30,"Screen 1","response_keyboard",345.310000000609,4,1,1,0,"test_trial","SS4","pred","pet store.png",3,4,2
"13/04/2021 00:31:23","12/04/2021 19:31:23",48742,5,3590485,"5d6f332829c25100188a4a27","Chrome 89.0.4389.114","reminder",5,"SS4",31,"Screen 1","response_keyboard",344.859999999244,2,1,1,0,"test_trial","SS4","pred","pet store.png",4,2,2
"13/04/2021 00:31:25","12/04/2021 19:31:25",48742,5,3590485,"5d6f332829c25100188a4a27","Chrome 89.0.4389.114","reminder",5,"SS4",32,"Screen 1","response_keyboard",1350.79000000042,4,1,0,0,"test_trial","SS4","pred","pet store.png",5,1,2
"13/04/2021 00:31:25","12/04/2021 19:31:25",48742,5,3590485,"5d6f332829c25100188a4a27","Chrome 89.0.4389.114","reminder",5,"SS4",33,"Screen 1","response_keyboard",2.44500000007974,4,1,1,0,"test_trial","SS4","pred","pet store.png",6,4,2
"13/04/2021 02:51:14","12/04/2021 21:51:13",48742,5,3591005,"5cc65d95050b2e00154babac","Chrome 89.0.4389.114","reminder",5,"SS3",20,"Screen 1","response_keyboard",619.420000002719,3,1,1,0,"test_trial","SS3","pred","grocery store.png",1,3,1
"13/04/2021 02:51:15","12/04/2021 21:51:13",48742,5,3591005,"5cc65d95050b2e00154babac","Chrome 89.0.4389.114","reminder",5,"SS3",21,"Screen 1","response_keyboard",39.3150000600144,2,1,1,0,"test_trial","SS3","pred","grocery store.png",2,2,1
"13/04/2021 02:51:16","12/04/2021 21:51:14",48742,5,3591005,"5cc65d95050b2e00154babac","Chrome 89.0.4389.114","reminder",5,"SS3",22,"Screen 1","response_keyboard",206.450000056066,4,1,1,0,"test_trial","SS3","pred","grocery store.png",3,4,1
"13/04/2021 02:51:17","12/04/2021 21:51:15",48742,5,3591005,"5cc65d95050b2e00154babac","Chrome 89.0.4389.114","reminder",5,"SS3",23,"Screen 1","response_keyboard",97.8650000179186,2,1,1,0,"test_trial","SS3","pred","grocery store.png",4,2,1
"13/04/2021 02:51:17","12/04/2021 21:51:16",48742,5,3591005,"5cc65d95050b2e00154babac","Chrome 89.0.4389.114","reminder",5,"SS3",24,"Screen 1","response_keyboard",141.115000005811,1,1,1,0,"test_trial","SS3","pred","grocery store.png",5,1,1
"13/04/2021 02:51:18","12/04/2021 21:51:16",48742,5,3591005,"5cc65d95050b2e00154babac","Chrome 89.0.4389.114","reminder",5,"SS3",25,"Screen 1","response_keyboard",23.879999993369,4,1,1,0,"test_trial","SS3","pred","grocery store.png",6,4,1
"13/04/2021 02:51:23","12/04/2021 21:51:22",48742,5,3591005,"5cc65d95050b2e00154babac","Chrome 89.0.4389.114","reminder",5,"SS3",28,"Screen 1","response_keyboard",520.714999991469,3,1,1,0,"test_trial","SS3","pred","grocery store.png",1,3,2
"13/04/2021 02:51:24","12/04/2021 21:51:22",48742,5,3591005,"5cc65d95050b2e00154babac","Chrome 89.0.4389.114","reminder",5,"SS3",29,"Screen 1","response_keyboard",36.3699999870732,2,1,1,0,"test_trial","SS3","pred","grocery store.png",2,2,2
"13/04/2021 02:51:25","12/04/2021 21:51:23",48742,5,3591005,"5cc65d95050b2e00154babac","Chrome 89.0.4389.114","reminder",5,"SS3",30,"Screen 1","response_keyboard",74.8750000493601,4,1,1,0,"test_trial","SS3","pred","grocery store.png",3,4,2
"13/04/2021 02:51:25","12/04/2021 21:51:23",48742,5,3591005,"5cc65d95050b2e00154babac","Chrome 89.0.4389.114","reminder",5,"SS3",31,"Screen 1","response_keyboard",30.4450000403449,2,1,1,0,"test_trial","SS3","pred","grocery store.png",4,2,2
"13/04/2021 02:51:26","12/04/2021 21:51:24",48742,5,3591005,"5cc65d95050b2e00154babac","Chrome 89.0.4389.114","reminder",5,"SS3",32,"Screen 1","response_keyboard",90.3449999168515,1,1,1,0,"test_trial","SS3","pred","grocery store.png",5,1,2
"13/04/2021 02:51:27","12/04/2021 21:51:25",48742,5,3591005,"5cc65d95050b2e00154babac","Chrome 89.0.4389.114","reminder",5,"SS3",33,"Screen 1","response_keyboard",613.245000015013,4,1,1,0,"test_trial","SS3","pred","grocery store.png",6,4,2
"13/04/2021 03:04:54","12/04/2021 20:04:54",48742,5,3591057,"60286182887e6f1aac272ed5","Chrome 89.0.4389.114","reminder",5,"SS8",20,"Screen 1","response_keyboard",683.500000042841,3,1,1,0,"test_trial","SS8","pred","pet store.png",1,3,1
"13/04/2021 03:04:55","12/04/2021 20:04:55",48742,5,3591057,"60286182887e6f1aac272ed5","Chrome 89.0.4389.114","reminder",5,"SS8",21,"Screen 1","response_keyboard",655.484999995679,2,1,1,0,"test_trial","SS8","pred","pet store.png",2,2,1
"13/04/2021 03:04:56","12/04/2021 20:04:56",48742,5,3591057,"60286182887e6f1aac272ed5","Chrome 89.0.4389.114","reminder",5,"SS8",22,"Screen 1","response_keyboard",241.930000018328,4,1,1,0,"test_trial","SS8","pred","pet store.png",3,4,1
"13/04/2021 03:04:57","12/04/2021 20:04:57",48742,5,3591057,"60286182887e6f1aac272ed5","Chrome 89.0.4389.114","reminder",5,"SS8",23,"Screen 1","response_keyboard",181.949999881908,2,1,1,0,"test_trial","SS8","pred","pet store.png",4,2,1
"13/04/2021 03:04:58","12/04/2021 20:04:57",48742,5,3591057,"60286182887e6f1aac272ed5","Chrome 89.0.4389.114","reminder",5,"SS8",24,"Screen 1","response_keyboard",227.405000012368,1,1,1,0,"test_trial","SS8","pred","pet store.png",5,1,1
"13/04/2021 03:04:58","12/04/2021 20:04:58",48742,5,3591057,"60286182887e6f1aac272ed5","Chrome 89.0.4389.114","reminder",5,"SS8",25,"Screen 1","response_keyboard",214.549999916926,4,1,1,0,"test_trial","SS8","pred","pet store.png",6,4,1
"13/04/2021 03:05:04","12/04/2021 20:05:04",48742,5,3591057,"60286182887e6f1aac272ed5","Chrome 89.0.4389.114","reminder",5,"SS8",28,"Screen 1","response_keyboard",516.79000002332,3,1,1,0,"test_trial","SS8","pred","pet store.png",1,3,2
"13/04/2021 03:05:05","12/04/2021 20:05:04",48742,5,3591057,"60286182887e6f1aac272ed5","Chrome 89.0.4389.114","reminder",5,"SS8",29,"Screen 1","response_keyboard",36.3199999555945,2,1,1,0,"test_trial","SS8","pred","pet store.png",2,2,2
"13/04/2021 03:05:06","12/04/2021 20:05:05",48742,5,3591057,"60286182887e6f1aac272ed5","Chrome 89.0.4389.114","reminder",5,"SS8",30,"Screen 1","response_keyboard",116.094999946654,4,1,1,0,"test_trial","SS8","pred","pet store.png",3,4,2
"13/04/2021 03:05:07","12/04/2021 20:05:06",48742,5,3591057,"60286182887e6f1aac272ed5","Chrome 89.0.4389.114","reminder",5,"SS8",31,"Screen 1","response_keyboard",181.919999886304,2,1,1,0,"test_trial","SS8","pred","pet store.png",4,2,2
"13/04/2021 03:05:07","12/04/2021 20:05:06",48742,5,3591057,"60286182887e6f1aac272ed5","Chrome 89.0.4389.114","reminder",5,"SS8",32,"Screen 1","response_keyboard",146.699999924749,1,1,1,0,"test_trial","SS8","pred","pet store.png",5,1,2
"13/04/2021 03:05:07","12/04/2021 20:05:07",48742,5,3591057,"60286182887e6f1aac272ed5","Chrome 89.0.4389.114","reminder",5,"SS8",33,"Screen 1","response_keyboard",144.149999832734,4,1,1,0,"test_trial","SS8","pred","pet store.png",6,4,2
"13/04/2021 15:15:43","13/04/2021 11:15:46",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","reminder",5,"SS5",20,"Screen 1","response_keyboard",499.609999998938,1,1,1,0,"test_trial","SS5","pred","grocery store.png",1,1,1
"13/04/2021 15:15:44","13/04/2021 11:15:47",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","reminder",5,"SS5",21,"Screen 1","response_keyboard",476.094999998168,4,1,1,0,"test_trial","SS5","pred","grocery store.png",2,4,1
"13/04/2021 15:15:45","13/04/2021 11:15:48",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","reminder",5,"SS5",22,"Screen 1","response_keyboard",312.239999999292,3,1,1,0,"test_trial","SS5","pred","grocery store.png",3,3,1
