utc_date,local_date,exp_id,exp_ver,id,prolific_id,browser,task,task_ver,gorilla_counterbalance,trial_row,rt,response,attempt,accuracy,dishonest,display,correct,event_name,counterbalance_order,block,phase,condition,seq_pos,test_rep,learn_rep,pred_learn_rep
13/04/2021 14:50:00,13/04/2021 10:50:03,48742,5,3598281,5e3adfc595ff562fbdd130fa,Edge 89.0.774.75,pretraining,2,SS5,1,13.560999999999922,NA,NA,0,0,instructions_start,NA,NA,SS5,NA,NA,NA,NA,NA,NA,NA
13/04/2021 14:51:03,13/04/2021 10:51:06,48742,5,3598281,5e3adfc595ff562fbdd130fa,Edge 89.0.774.75,pretraining,2,SS5,3,1200.8110000000015,NA,NA,0,0,fixation,NA,NA,SS5,1,chunked,NA,NA,NA,NA,NA
13/04/2021 14:51:07,13/04/2021 10:51:10,48742,5,3598281,5e3adfc595ff562fbdd130fa,Edge 89.0.774.75,pretraining,2,SS5,5,698.034999993979,1,1,1,0,seq_trial,1,grocery store.png,SS5,1,chunked,pred,1,NA,1,1
13/04/2021 14:51:08,13/04/2021 10:51:11,48742,5,3598281,5e3adfc595ff562fbdd130fa,Edge 89.0.774.75,pretraining,2,SS5,6,589.3649999998161,4,1,1,0,seq_trial,4,grocery store.png,SS5,1,chunked,pred,2,NA,1,1
13/04/2021 14:51:09,13/04/2021 10:51:12,48742,5,3598281,5e3adfc595ff562fbdd130fa,Edge 89.0.774.75,pretraining,2,SS5,7,637.9299999971408,3,1,1,0,seq_trial,3,grocery store.png,SS5,1,chunked,pred,3,NA,1,1
13/04/2021 14:51:10,13/04/2021 10:51:13,48742,5,3598281,5e3adfc595ff562fbdd130fa,Edge 89.0.774.75,pretraining,2,SS5,8,499.27500000194414,4,1,1,0,seq_trial,4,grocery store.png,SS5,1,chunked,pred,4,NA,1,1
13/04/2021 14:51:11,13/04/2021 10:51:14,48742,5,3598281,5e3adfc595ff562fbdd130fa,Edge 89.0.774.75,pretraining,2,SS5,9,498.58999999560183,2,1,1,0,seq_trial,2,grocery store.png,SS5,1,chunked,pred,5,NA,1,1
13/04/2021 14:51:12,13/04/2021 10:51:15,48742,5,3598281,5e3adfc595ff562fbdd130fa,Edge 89.0.774.75,pretraining,2,SS5,10,459.12500000122236,3,1,1,0,seq_trial,3,grocery store.png,SS5,1,chunked,pred,6,NA,1,1
13/04/2021 14:51:14,13/04/2021 10:51:17,48742,5,3598281,5e3adfc595ff562fbdd130fa,Edge 89.0.774.75,pretraining,2,SS5,11,1200.4850000000006,NA,NA,0,0,fixation,NA,NA,SS5,1,chunked,NA,NA,NA,NA,NA
13/04/2021 14:51:18,13/04/2021 10:51:20,48742,5,3598281,5e3adfc595ff562fbdd130fa,Edge 89.0.774.75,pretraining,2,SS5,13,525.5849999957718,1,1,1,0,seq_trial,1,grocery store.png,SS5,1,chunked,pred,1,NA,2,2
13/04/2021 14:51:19,13/04/2021 10:51:21,48742,5,3598281,5e3adfc595ff562fbdd130fa,Edge 89.0.774.75,pretraining,2,SS5,14,392.825000002631,4,1,1,0,seq_trial,4,grocery store.png,SS5,1,chunked,pred,2,NA,2,2
13/04/2021 14:51:19,13/04/2021 10:51:22,48742,5,3598281,5e3adfc595ff562fbdd130fa,Edge 89.0.774.75,pretraining,2,SS5,15,347.34000000025844,3,1,1,0,seq_trial,3,grocery store.png,SS5,1,chunked,pred,3,NA,2,2
13/04/2021 14:51:20,13/04/2021 10:51:23,48742,5,3598281,5e3adfc595ff562fbdd130fa,Edge 89.0.774.75,pretraining,2,SS5,16,447.0750000036787,4,1,1,0,seq_trial,4,grocery store.png,SS5,1,chunked,pred,4,NA,2,2
13/04/2021 14:51:21,13/04/2021 10:51:24,48742,5,3598281,5e3adfc595ff562fbdd130fa,Edge 89.0.774.75,pretraining,2,SS5,17,388.0250000001979,2,1,1,0,seq_trial,2,grocery store.png,SS5,1,chunked,pred,5,NA,2,2
13/04/2021 14:51:22,13/04/2021 10:51:25,48742,5,3598281,5e3adfc595ff562fbdd130fa,Edge 89.0.774.75,pretraining,2,SS5,18,364.465000006021,3,1,1,0,seq_trial,3,grocery store.png,SS5,1,chunked,pred,6,NA,2,2
13/04/2021 14:51:24,13/04/2021 10:51:26,48742,5,3598281,5e3adfc595ff562fbdd130fa,Edge 89.0.774.75,pretraining,2,SS5,19,1200.6889999999985,NA,NA,0,0,fixation,NA,NA,SS5,1,chunked,NA,NA,NA,NA,NA
13/04/2021 14:51:27,13/04/2021 10:51:30,48742,5,3598281,5e3adfc595ff562fbdd130fa,Edge 89.0.774.75,pretraining,2,SS5,21,495.24500000552507,1,1,1,0,seq_trial,1,grocery store.png,SS5,1,chunked,pred,1,NA,3,3
13/04/2021 14:51:28,13/04/2021 10:51:31,48742,5,3598281,5e3adfc595ff562fbdd130fa,Edge 89.0.774.75,pretraining,2,SS5,22,269.8600000003353,4,1,1,0,seq_trial,4,grocery store.png,SS5,1,chunked,pred,2,NA,3,3
13/04/2021 14:51:29,13/04/2021 10:51:32,48742,5,3598281,5e3adfc595ff562fbdd130fa,Edge 89.0.774.75,pretraining,2,SS5,23,264.0749999991385,3,1,1,0,seq_trial,3,grocery store.png,SS5,1,chunked,pred,3,NA,3,3
13/04/2021 14:51:30,13/04/2021 10:51:32,48742,5,3598281,5e3adfc595ff562fbdd130fa,Edge 89.0.774.75,pretraining,2,SS5,24,284.2549999986659,4,1,1,0,seq_trial,4,grocery store.png,SS5,1,chunked,pred,4,NA,3,3
13/04/2021 14:51:30,13/04/2021 10:51:33,48742,5,3598281,5e3adfc595ff562fbdd130fa,Edge 89.0.774.75,pretraining,2,SS5,25,236.15000000427244,2,1,1,0,seq_trial,2,grocery store.png,SS5,1,chunked,pred,5,NA,3,3
13/04/2021 14:51:31,13/04/2021 10:51:34,48742,5,3598281,5e3adfc595ff562fbdd130fa,Edge 89.0.774.75,pretraining,2,SS5,26,311.1849999986589,3,1,1,0,seq_trial,3,grocery store.png,SS5,1,chunked,pred,6,NA,3,3
