utc_date,local_date,exp_id,exp_ver,id,prolific_id,browser,task,task_ver,gorilla_counterbalance,trial_row,screen_name,zone_type,rt,response,attempt,accuracy,dishonest,display,counterbalance_order,condition,event_name,seq_pos,correct
13/04/2021 00:31:06,12/04/2021 19:31:06,48742,5,3590485,5d6f332829c25100188a4a27,Chrome 89.0.4389.114,reminder,5,SS4,20,Screen 1,response_keyboard,648.9400000009482,3,1,1,0,test_trial,SS4,pred,pet store.png,1,3
13/04/2021 00:31:08,12/04/2021 19:31:09,48742,5,3590485,5d6f332829c25100188a4a27,Chrome 89.0.4389.114,reminder,5,SS4,21,Screen 1,response_keyboard,1854.800000000978,2,1,1,0,test_trial,SS4,pred,pet store.png,2,2
13/04/2021 00:31:10,12/04/2021 19:31:10,48742,5,3590485,5d6f332829c25100188a4a27,Chrome 89.0.4389.114,reminder,5,SS4,22,Screen 1,response_keyboard,994.9999999989814,4,1,1,0,test_trial,SS4,pred,pet store.png,3,4
13/04/2021 00:31:11,12/04/2021 19:31:12,48742,5,3590485,5d6f332829c25100188a4a27,Chrome 89.0.4389.114,reminder,5,SS4,23,Screen 1,response_keyboard,849.1049999993265,2,1,1,0,test_trial,SS4,pred,pet store.png,4,2
13/04/2021 00:31:13,12/04/2021 19:31:14,48742,5,3590485,5d6f332829c25100188a4a27,Chrome 89.0.4389.114,reminder,5,SS4,24,Screen 1,response_keyboard,1378.7649999994755,1,1,1,0,test_trial,SS4,pred,pet store.png,5,1
13/04/2021 00:31:14,12/04/2021 19:31:15,48742,5,3590485,5d6f332829c25100188a4a27,Chrome 89.0.4389.114,reminder,5,SS4,25,Screen 1,response_keyboard,624.100000000908,4,1,1,0,test_trial,SS4,pred,pet store.png,6,4
13/04/2021 00:31:20,12/04/2021 19:31:20,48742,5,3590485,5d6f332829c25100188a4a27,Chrome 89.0.4389.114,reminder,5,SS4,28,Screen 1,response_keyboard,883.9349999998376,3,1,1,0,test_trial,SS4,pred,pet store.png,1,3
13/04/2021 00:31:21,12/04/2021 19:31:21,48742,5,3590485,5d6f332829c25100188a4a27,Chrome 89.0.4389.114,reminder,5,SS4,29,Screen 1,response_keyboard,319.9499999991531,2,1,1,0,test_trial,SS4,pred,pet store.png,2,2
13/04/2021 00:31:22,12/04/2021 19:31:22,48742,5,3590485,5d6f332829c25100188a4a27,Chrome 89.0.4389.114,reminder,5,SS4,30,Screen 1,response_keyboard,345.31000000060885,4,1,1,0,test_trial,SS4,pred,pet store.png,3,4
13/04/2021 00:31:23,12/04/2021 19:31:23,48742,5,3590485,5d6f332829c25100188a4a27,Chrome 89.0.4389.114,reminder,5,SS4,31,Screen 1,response_keyboard,344.8599999992439,2,1,1,0,test_trial,SS4,pred,pet store.png,4,2
13/04/2021 00:31:25,12/04/2021 19:31:25,48742,5,3590485,5d6f332829c25100188a4a27,Chrome 89.0.4389.114,reminder,5,SS4,32,Screen 1,response_keyboard,1350.7900000004156,4,1,0,0,test_trial,SS4,pred,pet store.png,5,1
13/04/2021 00:31:25,12/04/2021 19:31:25,48742,5,3590485,5d6f332829c25100188a4a27,Chrome 89.0.4389.114,reminder,5,SS4,33,Screen 1,response_keyboard,2.4450000000797445,4,1,1,0,test_trial,SS4,pred,pet store.png,6,4
13/04/2021 02:51:14,12/04/2021 21:51:13,48742,5,3591005,5cc65d95050b2e00154babac,Chrome 89.0.4389.114,reminder,5,SS3,20,Screen 1,response_keyboard,619.4200000027195,3,1,1,0,test_trial,SS3,pred,grocery store.png,1,3
13/04/2021 02:51:15,12/04/2021 21:51:13,48742,5,3591005,5cc65d95050b2e00154babac,Chrome 89.0.4389.114,reminder,5,SS3,21,Screen 1,response_keyboard,39.31500006001443,2,1,1,0,test_trial,SS3,pred,grocery store.png,2,2
