"utc_date","local_date","exp_id","exp_ver","id","prolific_id","browser","task","task_ver","gorilla_counterbalance","trial_row","rt","response","attempt","accuracy","dishonest","display","correct","event_name","counterbalance_order","block","phase","condition","seq_pos","test_rep","learn_rep","pred_learn_rep"
"09/02/2021 22:01:56","09/02/2021 17:01:56",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",32,250,4,1,1,0,"seq_trial",4,"grocery store.png","SS5",1,"chunked","pred",4,NA,4,4
"09/02/2021 22:01:56","09/02/2021 17:01:57",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",33,247,2,1,1,0,"seq_trial",2,"grocery store.png","SS5",1,"chunked","pred",5,NA,4,4
"09/02/2021 22:01:58","09/02/2021 17:01:59",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",34,874,3,1,1,0,"seq_trial",3,"grocery store.png","SS5",1,"chunked","pred",6,NA,4,4
"09/02/2021 22:01:59","09/02/2021 17:02:00",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",35,1202,NA,NA,0,0,"fixation",NA,NA,"SS5",1,"chunked",NA,NA,NA,NA,NA
"09/02/2021 22:02:03","09/02/2021 17:02:04",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",37,585,1,1,1,0,"seq_trial",1,"grocery store.png","SS5",1,"chunked","pred",1,NA,5,5
"09/02/2021 22:02:04","09/02/2021 17:02:05",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",38,239,4,1,1,0,"seq_trial",4,"grocery store.png","SS5",1,"chunked","pred",2,NA,5,5
"09/02/2021 22:02:05","09/02/2021 17:02:05",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",39,278,3,1,1,0,"seq_trial",3,"grocery store.png","SS5",1,"chunked","pred",3,NA,5,5
"09/02/2021 22:02:05","09/02/2021 17:02:06",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",40,225,4,1,1,0,"seq_trial",4,"grocery store.png","SS5",1,"chunked","pred",4,NA,5,5
"09/02/2021 22:02:06","09/02/2021 17:02:07",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",41,204,2,1,1,0,"seq_trial",2,"grocery store.png","SS5",1,"chunked","pred",5,NA,5,5
"09/02/2021 22:02:07","09/02/2021 17:02:08",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",42,194,3,1,1,0,"seq_trial",3,"grocery store.png","SS5",1,"chunked","pred",6,NA,5,5
"09/02/2021 22:02:09","09/02/2021 17:02:09",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",43,1199.99999999999,NA,NA,0,0,"fixation",NA,NA,"SS5",1,"chunked",NA,NA,NA,NA,NA
"09/02/2021 22:02:14","09/02/2021 17:02:15",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",45,1200,NA,NA,0,0,"fixation",NA,NA,"SS5",1,"chunked",NA,NA,NA,NA,NA
"09/02/2021 22:02:55","09/02/2021 17:02:56",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",61,3000,NA,NA,0,0,"test_start",NA,"grocery store.png","SS5",1,"chunked","pred",NA,NA,NA,NA
"09/02/2021 22:02:56","09/02/2021 17:02:56",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",62,832,1,1,1,0,"test_trial",1,"grocery store.png","SS5",1,"chunked","pred",1,1,NA,NA
"09/02/2021 22:02:57","09/02/2021 17:02:58",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",63,490,4,1,1,0,"test_trial",4,"grocery store.png","SS5",1,"chunked","pred",2,1,NA,NA
"09/02/2021 22:02:58","09/02/2021 17:02:58",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",64,375,3,1,1,0,"test_trial",3,"grocery store.png","SS5",1,"chunked","pred",3,1,NA,NA
"09/02/2021 22:02:59","09/02/2021 17:02:59",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",65,366,4,1,1,0,"test_trial",4,"grocery store.png","SS5",1,"chunked","pred",4,1,NA,NA
"09/02/2021 22:02:59","09/02/2021 17:03:00",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",66,331,2,1,1,0,"test_trial",2,"grocery store.png","SS5",1,"chunked","pred",5,1,NA,NA
"09/02/2021 22:03:00","09/02/2021 17:03:01",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",67,343,3,1,1,0,"test_trial",3,"grocery store.png","SS5",1,"chunked","pred",6,1,NA,NA
"09/02/2021 22:03:02","09/02/2021 17:03:03",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",68,1201.92000000001,NA,NA,0,0,"fixation",NA,NA,"SS5",1,"chunked",NA,NA,NA,NA,NA
"09/02/2021 22:03:05","09/02/2021 17:03:06",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",69,3000,NA,NA,0,0,"test_start",NA,"grocery store.png","SS5",1,"chunked","pred",NA,NA,NA,NA
"09/02/2021 22:03:06","09/02/2021 17:03:06",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",70,555,1,1,1,0,"test_trial",1,"grocery store.png","SS5",1,"chunked","pred",1,2,NA,NA
"09/02/2021 22:03:07","09/02/2021 17:03:07",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",71,295,4,1,1,0,"test_trial",4,"grocery store.png","SS5",1,"chunked","pred",2,2,NA,NA
"09/02/2021 22:03:07","09/02/2021 17:03:08",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",72,248,3,1,1,0,"test_trial",3,"grocery store.png","SS5",1,"chunked","pred",3,2,NA,NA
"09/02/2021 22:03:08","09/02/2021 17:03:09",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",73,175,4,1,1,0,"test_trial",4,"grocery store.png","SS5",1,"chunked","pred",4,2,NA,NA
"09/02/2021 22:03:09","09/02/2021 17:03:10",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",74,282,2,1,1,0,"test_trial",2,"grocery store.png","SS5",1,"chunked","pred",5,2,NA,NA
"09/02/2021 22:03:10","09/02/2021 17:03:11",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",75,206,3,1,1,0,"test_trial",3,"grocery store.png","SS5",1,"chunked","pred",6,2,NA,NA
"09/02/2021 22:03:11","09/02/2021 17:03:12",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",76,1200,NA,NA,0,0,"fixation",NA,NA,"SS5",1,"chunked",NA,NA,NA,NA,NA
"09/02/2021 22:03:13","09/02/2021 17:03:14",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",77,2000,NA,NA,0,0,"test_end",NA,NA,"SS5",1,"chunked",NA,NA,NA,NA,NA
"09/02/2021 22:03:30","09/02/2021 17:03:31",40999,4,3008743,"5f3c23cbcee6b3a3c4faff76","Firefox 85.0","pretraining",5,"SS5",80,1200,NA,NA,0,0,"fixation",NA,NA,"SS5",2,"chunked",NA,NA,NA,NA,NA
