utc_date,local_date,exp_id,exp_ver,id,prolific_id,browser,task,task_ver,gorilla_counterbalance,trial_row,rt,response,attempt,accuracy,dishonest,display,correct,event_name,counterbalance_order,block,phase,condition,seq_pos,test_rep,learn_rep,pred_learn_rep
14/07/2021 19:44:04,14/07/2021 12:43:56,56975,3,4266017,60ee922fcc2b54102d237822,Edge 91.0.864.67,pretraining,2,SS6,1,16.679000000000087,NA,NA,0,0,instructions_start,NA,NA,SS6,NA,NA,NA,NA,NA,NA,NA
14/07/2021 19:46:24,14/07/2021 12:46:16,56975,3,4266017,60ee922fcc2b54102d237822,Edge 91.0.864.67,pretraining,2,SS6,3,1200.073000000004,NA,NA,0,0,fixation,NA,NA,SS6,1,chunked,NA,NA,NA,NA,NA
14/07/2021 19:46:28,14/07/2021 12:46:21,56975,3,4266017,60ee922fcc2b54102d237822,Edge 91.0.864.67,pretraining,2,SS6,5,1119,1,1,1,0,seq_trial,1,pet store.png,SS6,1,chunked,pred,1,NA,1,1
14/07/2021 19:46:30,14/07/2021 12:46:23,56975,3,4266017,60ee922fcc2b54102d237822,Edge 91.0.864.67,pretraining,2,SS6,6,1509,4,1,1,0,seq_trial,4,pet store.png,SS6,1,chunked,pred,2,NA,1,1
14/07/2021 19:46:32,14/07/2021 12:46:24,56975,3,4266017,60ee922fcc2b54102d237822,Edge 91.0.864.67,pretraining,2,SS6,7,951,3,1,1,0,seq_trial,3,pet store.png,SS6,1,chunked,pred,3,NA,1,1
14/07/2021 19:46:33,14/07/2021 12:46:25,56975,3,4266017,60ee922fcc2b54102d237822,Edge 91.0.864.67,pretraining,2,SS6,8,777,4,1,1,0,seq_trial,4,pet store.png,SS6,1,chunked,pred,4,NA,1,1
14/07/2021 19:46:34,14/07/2021 12:46:27,56975,3,4266017,60ee922fcc2b54102d237822,Edge 91.0.864.67,pretraining,2,SS6,9,948.5999999940395,2,1,1,0,seq_trial,2,pet store.png,SS6,1,chunked,pred,5,NA,1,1
14/07/2021 19:46:36,14/07/2021 12:46:28,56975,3,4266017,60ee922fcc2b54102d237822,Edge 91.0.864.67,pretraining,2,SS6,10,815.5,3,1,1,0,seq_trial,3,pet store.png,SS6,1,chunked,pred,6,NA,1,1
14/07/2021 19:46:37,14/07/2021 12:46:30,56975,3,4266017,60ee922fcc2b54102d237822,Edge 91.0.864.67,pretraining,2,SS6,11,1200.051999999996,NA,NA,0,0,fixation,NA,NA,SS6,1,chunked,NA,NA,NA,NA,NA
14/07/2021 19:46:42,14/07/2021 12:46:34,56975,3,4266017,60ee922fcc2b54102d237822,Edge 91.0.864.67,pretraining,2,SS6,13,1228.5999999940395,1,1,1,0,seq_trial,1,pet store.png,SS6,1,chunked,pred,1,NA,2,2
