"utc_date","local_date","exp_id","exp_ver","id","prolific_id","browser","task","task_ver","gorilla_counterbalance","trial_row","screen_name","zone_type","rt","response","attempt","accuracy","dishonest","display","counterbalance_order","list","event","condition","event_name","seq_pos","spatial_pos","recon_correct"
"09/02/2021 22:43:05","09/02/2021 17:43:03",40999,4,3008809,"5ec771e68288e91bf1919096","Firefox 85.0","final_recon",3,"SS3",49,"Screen 1","response_button_image",3806,"beet.png",1,0,0,"recon_trial","SS3",7,2,"pred","grocery store.png",4,2,"salad.png"
"09/02/2021 22:43:07","09/02/2021 17:43:05",40999,4,3008809,"5ec771e68288e91bf1919096","Firefox 85.0","final_recon",3,"SS3",50,"Screen 1","response_button_image",2094,"salad.png",1,0,0,"recon_trial","SS3",7,2,"pred","grocery store.png",5,1,"pork.png"
"09/02/2021 22:43:07","09/02/2021 17:43:06",40999,4,3008809,"5ec771e68288e91bf1919096","Firefox 85.0","final_recon",3,"SS3",51,"Screen 1","response_button_image",733,"pork.png",1,0,0,"recon_trial","SS3",7,2,"pred","grocery store.png",6,4,"beet.png"
"09/02/2021 22:43:15","09/02/2021 17:43:13",40999,4,3008809,"5ec771e68288e91bf1919096","Firefox 85.0","final_recon",3,"SS3",11,"Screen 1","response_button_image",6782,"snail.png",1,1,0,"recon_trial","SS3",1,4,"rand","pet store.png",1,2,"snail.png"
"09/02/2021 22:43:20","09/02/2021 17:43:18",40999,4,3008809,"5ec771e68288e91bf1919096","Firefox 85.0","final_recon",3,"SS3",12,"Screen 1","response_button_image",4585,"hummingbird.png",1,1,0,"recon_trial","SS3",1,4,"rand","pet store.png",2,3,"hummingbird.png"
"09/02/2021 22:43:23","09/02/2021 17:43:21",40999,4,3008809,"5ec771e68288e91bf1919096","Firefox 85.0","final_recon",3,"SS3",13,"Screen 1","response_button_image",3111,"stingray.png",1,0,0,"recon_trial","SS3",1,4,"rand","pet store.png",3,1,"panda.png"
"09/02/2021 22:43:26","09/02/2021 17:43:25",40999,4,3008809,"5ec771e68288e91bf1919096","Firefox 85.0","final_recon",3,"SS3",14,"Screen 1","response_button_image",3512,"sheep.png",1,0,0,"recon_trial","SS3",1,4,"rand","pet store.png",4,3,"stingray.png"
"09/02/2021 22:43:29","09/02/2021 17:43:27",40999,4,3008809,"5ec771e68288e91bf1919096","Firefox 85.0","final_recon",3,"SS3",15,"Screen 1","response_button_image",2097,"panda.png",1,0,0,"recon_trial","SS3",1,4,"rand","pet store.png",5,4,"sheep.png"
"09/02/2021 22:43:29","09/02/2021 17:43:27",40999,4,3008809,"5ec771e68288e91bf1919096","Firefox 85.0","final_recon",3,"SS3",16,"Screen 1","response_button_image",521,"crab.png",1,1,0,"recon_trial","SS3",1,4,"rand","pet store.png",6,1,"crab.png"
"09/02/2021 22:43:38","09/02/2021 17:43:36",40999,4,3008809,"5ec771e68288e91bf1919096","Firefox 85.0","final_recon",3,"SS3",53,"Screen 1","response_button_image",8075,"donkey.png",1,0,0,"recon_trial","SS3",7,4,"rand","pet store.png",1,4,"mantis.png"
"09/02/2021 22:43:41","09/02/2021 17:43:39",40999,4,3008809,"5ec771e68288e91bf1919096","Firefox 85.0","final_recon",3,"SS3",54,"Screen 1","response_button_image",2383,"penguin.png",1,0,0,"recon_trial","SS3",7,4,"rand","pet store.png",2,3,"tiger.png"
"09/02/2021 22:43:46","09/02/2021 17:43:44",40999,4,3008809,"5ec771e68288e91bf1919096","Firefox 85.0","final_recon",3,"SS3",55,"Screen 1","response_button_image",4948,"mantis.png",1,0,0,"recon_trial","SS3",7,4,"rand","pet store.png",3,1,"donkey.png"
"09/02/2021 22:43:47","09/02/2021 17:43:45",40999,4,3008809,"5ec771e68288e91bf1919096","Firefox 85.0","final_recon",3,"SS3",56,"Screen 1","response_button_image",881,"tiger.png",1,0,0,"recon_trial","SS3",7,4,"rand","pet store.png",4,2,"goldenretriever.png"
"09/02/2021 22:43:48","09/02/2021 17:43:46",40999,4,3008809,"5ec771e68288e91bf1919096","Firefox 85.0","final_recon",3,"SS3",57,"Screen 1","response_button_image",1481,"goldenretriever.png",1,0,0,"recon_trial","SS3",7,4,"rand","pet store.png",5,1,"penguin.png"
"09/02/2021 22:43:48","09/02/2021 17:43:46",40999,4,3008809,"5ec771e68288e91bf1919096","Firefox 85.0","final_recon",3,"SS3",58,"Screen 1","response_button_image",325,"grasshopper.png",1,1,0,"recon_trial","SS3",7,4,"rand","pet store.png",6,3,"grasshopper.png"
"09/02/2021 22:44:04","09/02/2021 17:44:02",40999,4,3008809,"5ec771e68288e91bf1919096","Firefox 85.0","final_recon",3,"SS3",39,"Screen 1","timelimit_screen",14998.04,NA,NA,0,0,"recon_trial","SS3",5,1,"rand","pet store.png",1,2,"bat.png"
