"utc_date","local_date","exp_id","exp_ver","id","prolific_id","browser","task","task_ver","gorilla_counterbalance","trial_row","rt","response","attempt","accuracy","dishonest","display","counterbalance_order","list","event","condition","event_name","seq_pos","spatial_pos","recon_correct","spatial_stim","spatial_correct","temp_conf"
"14/07/2021 20:00:01","14/07/2021 12:59:54",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b1",4,"SS6",11,3839.90000000596,"walnutsB.png",1,1,0,"recon_trial","SS6",1,3,"rand","grocery store.png",1,4,"walnutsB.png",NA,NA,NA
"14/07/2021 20:00:05","14/07/2021 12:59:57",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b1",4,"SS6",12,3488.29999999702,"nachosB.png",1,1,0,"recon_trial","SS6",1,3,"rand","grocery store.png",2,3,"nachosB.png",NA,NA,NA
"14/07/2021 20:00:10","14/07/2021 13:00:02",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b1",4,"SS6",13,4899.69999998808,"hotdogB.png",1,1,0,"recon_trial","SS6",1,3,"rand","grocery store.png",3,1,"hotdogB.png",NA,NA,NA
"14/07/2021 20:00:15","14/07/2021 13:00:07",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b1",4,"SS6",14,4957.70000000298,"starfruitB.png",1,1,0,"recon_trial","SS6",1,3,"rand","grocery store.png",4,2,"starfruitB.png",NA,NA,NA
"14/07/2021 20:00:17","14/07/2021 13:00:09",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b1",4,"SS6",15,1965.79999999702,"tacoB.png",1,0,0,"recon_trial","SS6",1,3,"rand","grocery store.png",5,1,"celeryB.png",NA,NA,NA
"14/07/2021 20:00:18","14/07/2021 13:00:10",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b1",4,"SS6",16,918.59999999404,"celeryB.png",1,0,0,"recon_trial","SS6",1,3,"rand","grocery store.png",6,3,"tacoB.png",NA,NA,NA
"14/07/2021 20:00:26","14/07/2021 13:00:18",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b1",4,"SS6",4,6965.29999999702,"caterpillarB.png",1,1,0,"recon_trial","SS6",1,4,"pred","pet store.png",1,1,"caterpillarB.png",NA,NA,NA
"14/07/2021 20:00:27","14/07/2021 13:00:19",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b1",4,"SS6",5,1107.70000000298,"butterflyB.png",1,1,0,"recon_trial","SS6",1,4,"pred","pet store.png",2,4,"butterflyB.png",NA,NA,NA
"14/07/2021 20:00:33","14/07/2021 13:00:25",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b1",4,"SS6",6,5690.20000000298,"chickenB.png",1,1,0,"recon_trial","SS6",1,4,"pred","pet store.png",3,3,"chickenB.png",NA,NA,NA
"14/07/2021 20:00:34","14/07/2021 13:00:26",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b1",4,"SS6",7,1117.39999999106,"pelicanB.png",1,1,0,"recon_trial","SS6",1,4,"pred","pet store.png",4,4,"pelicanB.png",NA,NA,NA
"14/07/2021 20:00:35","14/07/2021 13:00:27",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b1",4,"SS6",8,1025.20000000298,"polarbearB.png",1,1,0,"recon_trial","SS6",1,4,"pred","pet store.png",5,2,"polarbearB.png",NA,NA,NA
"14/07/2021 20:00:35","14/07/2021 13:00:28",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b1",4,"SS6",9,698,"zebraB.png",1,1,0,"recon_trial","SS6",1,4,"pred","pet store.png",6,3,"zebraB.png",NA,NA,NA
"14/07/2021 20:03:44","14/07/2021 13:03:36",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b2",3,"SS6",4,4011.60000000894,"pantherB.png",1,1,0,"recon_trial","SS6",2,1,"pred","pet store.png",1,1,"pantherB.png",NA,NA,NA
"14/07/2021 20:03:46","14/07/2021 13:03:38",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b2",3,"SS6",5,2129,"rabbitB.png",1,1,0,"recon_trial","SS6",2,1,"pred","pet store.png",2,4,"rabbitB.png",NA,NA,NA
"14/07/2021 20:03:47","14/07/2021 13:03:40",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b2",3,"SS6",6,1577.30000001192,"kangarooB.png",1,1,0,"recon_trial","SS6",2,1,"pred","pet store.png",3,3,"kangarooB.png",NA,NA,NA
"14/07/2021 20:03:52","14/07/2021 13:03:44",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b2",3,"SS6",7,4462,"turkeyB.png",1,1,0,"recon_trial","SS6",2,1,"pred","pet store.png",4,4,"turkeyB.png",NA,NA,NA
"14/07/2021 20:03:53","14/07/2021 13:03:45",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b2",3,"SS6",8,798.5,"elephantB.png",1,1,0,"recon_trial","SS6",2,1,"pred","pet store.png",5,2,"elephantB.png",NA,NA,NA
"14/07/2021 20:03:53","14/07/2021 13:03:46",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b2",3,"SS6",9,675.100000008941,"dolphinB.png",1,1,0,"recon_trial","SS6",2,1,"pred","pet store.png",6,3,"dolphinB.png",NA,NA,NA
"14/07/2021 20:03:57","14/07/2021 13:03:50",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b2",3,"SS6",11,2748.20000000298,"cookiesB.png",1,1,0,"recon_trial","SS6",2,3,"rand","grocery store.png",1,3,"cookiesB.png",NA,NA,NA
"14/07/2021 20:04:04","14/07/2021 13:03:56",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b2",3,"SS6",12,6308.5,"burritoB.png",1,1,0,"recon_trial","SS6",2,3,"rand","grocery store.png",2,4,"burritoB.png",NA,NA,NA
"14/07/2021 20:04:05","14/07/2021 13:03:57",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b2",3,"SS6",13,1285.20000000298,"dumplingsB.png",1,1,0,"recon_trial","SS6",2,3,"rand","grocery store.png",3,1,"dumplingsB.png",NA,NA,NA
"14/07/2021 20:04:09","14/07/2021 13:04:01",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b2",3,"SS6",14,3604.79999999702,"cakeB.png",1,0,0,"recon_trial","SS6",2,3,"rand","grocery store.png",4,2,"saladB.png",NA,NA,NA
"14/07/2021 20:04:10","14/07/2021 13:04:03",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b2",3,"SS6",15,1593.60000000894,"kiwiB.png",1,1,0,"recon_trial","SS6",2,3,"rand","grocery store.png",5,1,"kiwiB.png",NA,NA,NA
"14/07/2021 20:04:11","14/07/2021 13:04:03",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b2",3,"SS6",16,584.70000000298,"saladB.png",1,0,0,"recon_trial","SS6",2,3,"rand","grocery store.png",6,4,"cakeB.png",NA,NA,NA
"14/07/2021 20:07:26","14/07/2021 13:07:19",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b3",3,"SS6",11,12073.299999997,"chocolatemilkB.png",1,1,0,"recon_trial","SS6",3,2,"rand","grocery store.png",1,3,"chocolatemilkB.png",NA,NA,NA
"14/07/2021 20:07:28","14/07/2021 13:07:21",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b3",3,"SS6",12,1957.90000000596,"guavaB.png",1,1,0,"recon_trial","SS6",3,2,"rand","grocery store.png",2,4,"guavaB.png",NA,NA,NA
"14/07/2021 20:07:29","14/07/2021 13:07:22",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b3",3,"SS6",13,1068.09999999404,"watermelonB.png",1,1,0,"recon_trial","SS6",3,2,"rand","grocery store.png",3,2,"watermelonB.png",NA,NA,NA
"14/07/2021 20:07:35","14/07/2021 13:07:27",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b3",3,"SS6",14,5563.5,"oliveoilB.png",1,0,0,"recon_trial","SS6",3,2,"rand","grocery store.png",4,1,"soupB.png",NA,NA,NA
"14/07/2021 20:07:36","14/07/2021 13:07:28",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b3",3,"SS6",15,867.20000000298,"soupB.png",1,0,0,"recon_trial","SS6",3,2,"rand","grocery store.png",5,4,"oliveoilB.png",NA,NA,NA
"14/07/2021 20:07:36","14/07/2021 13:07:29",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b3",3,"SS6",16,580.40000000596,"pieB.png",1,1,0,"recon_trial","SS6",3,2,"rand","grocery store.png",6,1,"pieB.png",NA,NA,NA
"14/07/2021 20:07:47","14/07/2021 13:07:40",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b3",3,"SS6",4,9689.80000001192,"gooseB.png",1,1,0,"recon_trial","SS6",3,4,"pred","pet store.png",1,1,"gooseB.png",NA,NA,NA
"14/07/2021 20:07:50","14/07/2021 13:07:43",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b3",3,"SS6",5,3054.10000000894,"grasshopperB.png",1,1,0,"recon_trial","SS6",3,4,"pred","pet store.png",2,4,"grasshopperB.png",NA,NA,NA
"14/07/2021 20:07:57","14/07/2021 13:07:50",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b3",3,"SS6",6,7238,"pandaB.png",1,0,0,"recon_trial","SS6",3,4,"pred","pet store.png",3,3,"penguinB.png",NA,NA,NA
"14/07/2021 20:07:59","14/07/2021 13:07:51",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b3",3,"SS6",7,1199.89999999106,"bearB.png",1,0,0,"recon_trial","SS6",3,4,"pred","pet store.png",4,4,"pandaB.png",NA,NA,NA
"14/07/2021 20:08:00","14/07/2021 13:07:52",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b3",3,"SS6",8,896.20000000298,"walrusB.png",1,0,0,"recon_trial","SS6",3,4,"pred","pet store.png",5,2,"bearB.png",NA,NA,NA
"14/07/2021 20:08:00","14/07/2021 13:07:53",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b3",3,"SS6",9,776.29999999702,"penguinB.png",1,0,0,"recon_trial","SS6",3,4,"pred","pet store.png",6,3,"walrusB.png",NA,NA,NA
"14/07/2021 20:10:58","14/07/2021 13:10:50",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b4",3,"SS6",4,5361.20000000298,"manateeB.png",1,1,0,"recon_trial","SS6",4,2,"pred","pet store.png",1,1,"manateeB.png",NA,NA,NA
"14/07/2021 20:11:13","14/07/2021 13:11:05",56975,3,4266017,"60ee922fcc2b54102d237822","Edge 91.0.864.67","retrieval_b4",3,"SS6",5,15000.76,NA,NA,0,0,"recon_trial","SS6",4,2,"pred","pet store.png",2,4,"turtleB.png",NA,NA,NA
