"utc_date","local_date","exp_id","exp_ver","id","prolific_id","browser","task","task_ver","gorilla_counterbalance","trial_row","rt","response","attempt","accuracy","dishonest","display","counterbalance_order","list","event","condition","event_name","seq_pos","spatial_pos","recon_correct","spatial_stim","spatial_correct","temp_conf"
"13/04/2021 15:02:31","13/04/2021 11:02:33",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","retrieval_b1",2,"SS5",4,1948.34000000264,"caramelapple.png",1,1,0,"recon_trial","SS5",1,1,"pred","grocery store.png",1,1,"caramelapple.png",NA,NA,NA
"13/04/2021 15:02:33","13/04/2021 11:02:36",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","retrieval_b1",2,"SS5",5,2480.04000000219,"poutine.png",1,1,0,"recon_trial","SS5",1,1,"pred","grocery store.png",2,4,"poutine.png",NA,NA,NA
"13/04/2021 15:02:36","13/04/2021 11:02:38",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","retrieval_b1",2,"SS5",6,2280.33500000311,"mushrooms.png",1,1,0,"recon_trial","SS5",1,1,"pred","grocery store.png",3,3,"mushrooms.png",NA,NA,NA
"13/04/2021 15:02:38","13/04/2021 11:02:40",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","retrieval_b1",2,"SS5",7,1977.63000000123,"onion.png",1,1,0,"recon_trial","SS5",1,1,"pred","grocery store.png",4,4,"onion.png",NA,NA,NA
"13/04/2021 15:02:41","13/04/2021 11:02:44",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","retrieval_b1",2,"SS5",8,3891.97499999864,"broccoli.png",1,1,0,"recon_trial","SS5",1,1,"pred","grocery store.png",5,2,"broccoli.png",NA,NA,NA
"13/04/2021 15:02:43","13/04/2021 11:02:45",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","retrieval_b1",2,"SS5",9,1296.53500000131,"basil.png",1,1,0,"recon_trial","SS5",1,1,"pred","grocery store.png",6,3,"basil.png",NA,NA,NA
"13/04/2021 15:02:46","13/04/2021 11:02:49",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","retrieval_b1",2,"SS5",11,1983.2150000002,"pufferfish.png",1,1,0,"recon_trial","SS5",1,3,"rand","pet store.png",1,4,"pufferfish.png",NA,NA,NA
"13/04/2021 15:02:48","13/04/2021 11:02:51",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","retrieval_b1",2,"SS5",12,2029.5299999998,"dolphin.png",1,1,0,"recon_trial","SS5",1,3,"rand","pet store.png",2,3,"dolphin.png",NA,NA,NA
"13/04/2021 15:02:50","13/04/2021 11:02:53",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","retrieval_b1",2,"SS5",13,2326.64500000101,"stingray.png",1,1,0,"recon_trial","SS5",1,3,"rand","pet store.png",3,1,"stingray.png",NA,NA,NA
"13/04/2021 15:02:51","13/04/2021 11:02:54",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","retrieval_b1",2,"SS5",14,1133.34000000032,"boar.png",1,0,0,"recon_trial","SS5",1,3,"rand","pet store.png",4,2,"crocodile.png",NA,NA,NA
